token,frequency
family-friendly italian restaurant,57
deliveries in the,57
costing more than,57
has indian food,57
child friendly french,57
cheap japanese food,57
restaurant called with,57
near the restaurant,57
centre is not,57
river there is,57
is suitable for,57
family is a,57
for fast food,57
great place to,57
friendly place called,57
a cheap chinese,57
child friendly has,57
rating if you,57
offering italian food,57
are not child,57
shop near called,57
customer rating pub,56
are children friendly,56
and costs more,56
20 pounds is,56
area it serves,56
riverside near to,56
range is located,56
not family-friendly near,56
cheap italian restaurant,56
the kid friendly,56
is near there,56
friendly environment is,56
restaurant with prices,56
with high price,56
it 5 out,56
a family-friendly place,56
city centre for,56
that is kids,56
is a indian,56
not a kid,56
outside the city,56
a riverside coffee,56
and is also,56
customers give it,56
found near in,56
and a family,56
they are in,56
and they serve,56
not family-friendly in,55
rated child friendly,55
restaurant named it,55
cheap and has,55
customers have given,55
a poor customer,55
restaurant called in,55
near the located,55
of 5 offers,55
the outskirts of,55
friendly atmosphere is,55
a sushi restaurant,55
has a average,55
does not cater,55
for the family,55
family-friendly it has,55
has average ratings,55
range of £20,55
than £30 located,55
rated kid friendly,55
in a moderate,55
shop named it,55
with high ratings,55
near you will,55
it is by,55
offers moderately priced,55
it has received,55
a cheap french,55
near the has,55
priced japanese restaurant,55
rating is not,55
average it is,55
restaurant and coffee,55
with low ratings,55
the child friendly,55
than £30 but,55
cuisine in the,55
with chinese food,55
than £30 near,54
along the river,54
child-friendly coffee shop,54
children friendly there,54
welcome is a,54
that is cheap,54
than £20 there,54
than £20 located,54
area near and,54
not allow children,54
5 has a,54
restaurant near called,54
offering english food,54
family-friendly restaurant that,54
restaurant serving indian,54
sells fast food,54
shop located next,54
the north of,54
with average ratings,54
priced english restaurant,54
cheap is a,54
city centre serving,54
is a not,54
the by the,54
are not children,54
italian food restaurant,54
with customer rating,54
riverside near has,54
good customer rating,54
a pub offering,54
moderately priced food,54
a child-friendly restaurant,54
moderate price it,54
high priced and,54
range of £20-£25,53
rating and has,53
their prices are,53
price range between,53
rated italian restaurant,53
the mid price,53
that is n't,53
an italian food,53
italian restaurant it,53
cost more than,53
that is in,53
3 star rating,53
as well as,53
than £20 a,53
the on the,53
£20-25 there is,53
called the is,53
is a reasonably,53
for adults only,53
friendly restaurant named,53
low priced and,53
it has been,53
near the customer,53
cheap french food,53
and has received,53
near the that,53
priced child friendly,53
riverside area of,53
shop called located,53
not family-friendly located,53
is a average,53
with average prices,53
also has a,53
children friendly italian,53
for french food,53
serves high priced,53
that offers chinese,52
children friendly japanese,52
find it near,52
place near the,52
of 5 provides,52
serve chinese food,52
only has a,52
than £30 there,52
excellent customer rating,52
a cheap english,52
centre they are,52
moderately priced japanese,52
riverside area you,52
family-friendly with a,52
moderately priced with,52
place called it,52
child friendly near,52
area near with,52
shop which is,52
food pub near,52
close to in,52
restaurant is in,52
centre in the,52
cuisine it is,52
children are not,52
is a no,52
rating of one,51
rating and price,51
£20 is an,51
at coffee shop,51
shop located by,51
food within a,51
riverside area a,51
kid friendly serves,51
which serves french,51
the japanese restaurant,51
restaurant with moderate,51
family-friendly is an,51
english food there,51
pub with an,51
city centre by,51
kid friendly in,51
non kid friendly,51
near serves japanese,51
the riverside a,51
recommended for families,51
to is an,51
found near is,51
customer rating if,51
shop is near,51
expensive fast food,51
it 3 out,51
located near this,51
the the is,51
restaurant called has,51
centre it 's,51
's not family-friendly,51
child friendly located,51
a family-friendly french,51
which is child,51
it is high,51
kid friendly a,51
french food the,50
reviews is a,50
named has a,50
is rated average,50
food is not,50
center it is,50
5 stars and,50
a riverside pub,50
is near a,50
english restaurant is,50
they are a,50
you 'll find,50
centre located near,50
of 5 restaurant,50
shop serves chinese,50
also kid friendly,50
and children friendly,50
's kid friendly,50
area near to,50
priced in the,50
price range pub,50
's called and,50
the place to,50
child friendly in,50
shop with low,50
kids friendly with,50
moderate price is,50
friendly place is,50
food at low,50
3 out 5,50
called and it,50
the which is,50
riverside called it,50
of over £30,50
5 near in,50
riverside near in,50
for a coffee,50
japanese food located,49
food less than,49
a family-friendly japanese,49
5 star restaurant,49
near if you,49
are not family,49
has a very,49
star customer rating,49
the river in,49
restaurant is near,49
ratings there is,49
place that serves,49
restaurant that sells,49
providing take-away deliveries,49
children friendly located,49
that is family-friendly,49
at is a,49
prices more than,49
rating that is,49
fast food joint,49
located riverside is,49
friendly place that,49
venue in the,49
highly rated italian,49
named that serves,49
near the near,49
restaurant named that,49
is a venue,49
is family-friendly with,49
food restaurant named,49
give it a,49
in a child,49
for families with,49
range and customer,49
the located near,49
chinese food they,49
than £30 in,49
of 5 pub,49
's in the,49
child friendly but,49
in the £20,49
english food has,48
pub called which,48
serves french cuisine,48
near near in,48
area in the,48
is cheap is,48
is a very,48
£20-25 it has,48
pub serving chinese,48
range that is,48
and highly rated,48
kid friendly chinese,48
japanese pub near,48
children friendly a,48
star rating it,48
children-friendly coffee shop,48
pub which is,48
which serves indian,48
pub providing chinese,48
and serves chinese,48
riverside is the,48
in riverside a,48
food in city,48
a higher price,48
friendly italian pub,48
but it 's,48
families with children,48
not far from,48
area located near,48
of five is,48
but not family-friendly,48
customer ratings of,48
coffee shop they,48
a poorly rated,48
than £30 with,48
than £20 with,48
for children is,48
called which has,48
for japanese food,47
is a english,47
riverside with an,47
and is cheap,47
centre near a,47
near a coffee,47
high priced indian,47
they serve chinese,47
it does not,47
shop called in,47
the located in,47
£30 is an,47
children friendly french,47
centre with an,47
for families and,47
kid-friendly coffee shop,47
is low and,47
food and the,47
and a 1,47
priced french restaurant,47
riverside and it,47
is also family,47
child friendly atmosphere,47
to with a,47
indian food located,47
cheap prices and,47
pub serving fast,47
food is in,47
is a poorly,47
a riverside restaurant,47
chinese food located,47
friendly italian coffee,47
friendly atmosphere and,47
establishment in the,47
stars it is,47
to 25 pounds,47
a kid-friendly restaurant,47
£20 and has,47
a good place,47
restaurant located at,47
a cheap and,47
shop called the,47
that offers japanese,47
of riverside near,47
city center with,46
restaurant has an,46
riverside that has,46
english food that,46
friendly french coffee,46
that provides fast,46
pounds it is,46
and the prices,46
cost less than,46
within the city,46
average ratings and,46
called near in,46
costing less than,46
which is family,46
not family-friendly a,46
place located near,46
is next to,46
situated on the,46
friendly place near,46
range and average,46
friendly english food,46
fast food venue,46
range with an,46
is near to,46
not a child,46
friendly and near,46
is kid-friendly and,46
which serves chinese,46
£30 in the,46
restaurant serving chinese,46
near is which,45
has been given,45
friendly and in,45
with french food,45
food pub is,45
on the outskirts,45
outskirts of the,45
italian pub near,45
than £30 a,45
range between £20-25,45
called the it,45
pub called the,45
friendly high priced,45
it 's rated,45
area that is,45
friendly is near,45
rating but it,45
by the name,45
has a one,45
kids is a,45
